startup_name,industry,sub_industry,city,investors,funding_round,funding_amount_usd,date,data_source,year,was_url
Byju’S,E-Tech,E-learning,Bengaluru,Tiger Global Management,Private Equity Round,200000000.0,2020-01-09,2000_2023,2020.0,False
Shuttl,Transportation,App based shuttle service,Gurgaon,Susquehanna Growth Equity,Series C,8048394.0,2020-01-13,2000_2023,2020.0,False
Mamaearth,E-commerce,Retailer of baby and toddler products,Bengaluru,Sequoia Capital India,Series B,18358860.0,2020-01-09,2000_2023,2020.0,False
Wealthbucket,FinTech,Online Investment,New Delhi,Vinod Khatumal,Pre-series A,3000000.0,2020-01-02,2000_2023,2020.0,False
Fashor,Fashion and Apparel,Embroiled Clothes For Women,Mumbai,Sprout Venture Partners,Seed Round,1800000.0,2020-01-02,2000_2023,2020.0,False
Pando,Logistics,"Open-market, freight management platform",Chennai,Chiratae Ventures,Series A,9000000.0,2020-01-13,2000_2023,2020.0,False
Zomato,Hospitality,Online Food Delivery Platform,Gurgaon,Ant Financial,Private Equity Round,150000000.0,2020-01-10,2000_2023,2020.0,False
Ecozen,Technology,Agritech,Pune,Sathguru Catalyzer Advisors,Series A,6000000.0,2019-12-12,2000_2023,2019.0,False
Cardekho,E-Commerce,Automobile,Gurgaon,Ping An Global Voyager Fund,Series D,70000000.0,2019-12-06,2000_2023,2019.0,False
Dhruva Space,Aerospace,Satellite Communication,Bengaluru,"Mumbai Angels, Ravikanth Reddy",Seed,50000000.0,2019-12-03,2000_2023,2019.0,False
Rivigo,Technology,Logistics Services and Solutions,Gurgaon,"SAIF Partners, Spring Canter Investment Ltd.",Series F,20000000.0,2019-12-13,2000_2023,2019.0,False
Healthians,B2B-focused foodtech startup,Food Solutions For Corporate,Bengaluru,"Paytm, NPTK, Sabre Partners and Neoplux",Series C,12000000.0,2019-12-17,2000_2023,2019.0,False
Licious,E-Commerce,Online Meat And Seafood Ordering Startup,Bengaluru,Vertex Growth Fund,Series E,30000000.0,2019-12-16,2000_2023,2019.0,False
Incred,Finance,Non-Banking Financial Company,Mumbai,,Debt Funding,5900000.0,2019-12-16,2000_2023,2019.0,False
Trell,Video,Experience Discovery Platform,Bengaluru,Ruizheng Investment,Seed Round,2000000.0,2019-12-14,2000_2023,2019.0,False
Rein Games,Gaming,Real money based gaming startup,Noida,Manipal Education and Medical Group (MEMG),Seed Round,50000000.0,2019-12-11,2000_2023,2019.0,False
Lenskart,E-Commerce,Online Eyewear Shopping Portal,Faridabad,SoftBank Vision Fund,Series G,231000000.0,2019-12-20,2000_2023,2019.0,False
Freshworks,Software,Business and customer engagement tools,San Francisco,"Sequoia, CapitalG, Accel",Series H,150000000.0,2019-11-13,2000_2023,2019.0,False
Misters,Health and wellness,Men's Health and Wellness brand,Gurgaon,"Sauce.vc, Rainforest Ventures",Series B,486000.0,2019-11-14,2000_2023,2019.0,False
Sunstone Eduversity Pvt. Ltd,Education,Elearning,Gurgaon,"Prime Venture Partners, LetsVenture, PS1 Venture and GlobalLogic co-founder Rajul Garg",Seed,1500000.0,2019-11-13,2000_2023,2019.0,False
Burger Singh,Food and Beverage,Indian Burger Brand,Gurgaon,RB Investments,Venture,,2019-11-17,2000_2023,2019.0,False
Healthians,Health and Wellness,Healthcare services,Gurgaon,"DG Daiwa Ventures, DG Incubation",Series B,12000000.0,2019-11-18,2000_2023,2019.0,False
Ninjacart,B2B Marketing,Agritech,Bengaluru,Trifecta Capital Advisors,Debt Funding,26000000.0,2019-11-15,2000_2023,2019.0,False
Aye Finance,FinTech,Financial Services To MSMEs,Gurgaon,FinTech,Debt Funding,17411265.0,2019-11-20,2000_2023,2019.0,False
Supergaming,Video Games,Social gaming platform,Pune,Dream Incubator,Seed Funding,1300000.0,2019-11-12,2000_2023,2019.0,False
Clumio,SaaS,Recovery software,"San Jose,","Altimeter Capital, Sutter Hill Ventures",Series C,135000000.0,2019-11-20,2000_2023,2019.0,False
Ebikego,Last Mile Transportation,Electric bike rental,Amritsar,Startup Buddy,Seed,300000.0,2019-11-11,2000_2023,2019.0,False
Digital Mall Asia,E-Commerce,Virtual e-commerce platform,Delhi,Amour Infrastructure,Seed Funding,220000000.0,2019-11-19,2000_2023,2019.0,False
Medikabazaar,Healthcare,B2B platform for medical supplies,Mumbai,"Ackermans & van Haaren, HealthQuad, Rebright Partners, Toppan Printing",Series B,15800000.0,2019-11-18,2000_2023,2019.0,False
Vogo Automotive,Last Mile Transportation,Scooter sharing app,Kormangala,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital",Series B,283000000.0,2019-11-15,2000_2023,2019.0,False
Furtados School Of Music,Education,Music Education,Tulangan,IAN Fund and DSG Consumer Partners,Undisclosed,200000000.0,2019-11-19,2000_2023,2019.0,False
Paytm,FinTech,Mobile Wallet,Noida,Vijay Shekhar Sharma,Funding Round,1000000000.0,2019-11-25,2000_2023,2019.0,False
Dunzo,Customer Service,Delivery Service,Bengaluru,Lightbox,Series D,45000000.0,2019-10-04,2000_2023,2019.0,False
Udaan,B2B,Business development,Bengaluru,"Altimeter Capital, DST Global",Series D,585000000.0,2019-10-02,2000_2023,2019.0,False
The Man Company,Consumer Goods,Beauty and Grooming,Gurgaon,Ayushmann Khurana,Corporate Round,,2019-10-21,2000_2023,2019.0,False
Fpl Technologies,FinTech,Financial Services,Pune,"Matrix Partners India, Sequoia India",Maiden Round,4500000.0,2019-09-05,2000_2023,2019.0,False
Cashflo,FinTech,Invoice discounting platform and SME lending marketplace,Mumbai,SAIF Partners,Series A,3300000.0,2019-09-04,2000_2023,2019.0,False
Digital F5,"Advertising, Marketing",Digital marketing firm,Mumbai,TIW Private Equity,Private Equity Round,6000000.0,2019-09-04,2000_2023,2019.0,False
3Rdflix,SaaS,Education Technology,Hyderabad,Exfinity Venture Partners,pre-series A,5000000.0,2019-09-04,2000_2023,2019.0,False
75F,IoT,Building automation system,Burnsville,Breakthrough Energy Ventures,Series A,18000000.0,2019-09-04,2000_2023,2019.0,False
Myelin Foundry,Information Technology,Deep-technology,Bengaluru,Endiya Partners,Seed,1000000.0,2019-09-04,2000_2023,2019.0,False
Atomberg Technology,Consumer Technology,"Consumer Electronics, Home Appliances",Mumbai,A91 Partners,Series A,10000000.0,2019-09-04,2000_2023,2019.0,False
Goqii,Health and Wellness,Wearable Fitness Bands,Menlo Park,Bennett Coleman and Company Ltd (BCCL),Series C,450000000.0,2019-09-04,2000_2023,2019.0,False
Vyapar App,Accounting,Mobile-based Accounting Software,Bengaluru,"India Quotient, Axilor Ventures",Series A,5000000.0,2019-09-03,2000_2023,2019.0,False
Cardekho,E-Commerce,Automotive,Gurgaon,SC GG India Mobility Holdings LLC,Series C,20000000.0,2019-08-01,2000_2023,2019.0,False
Progcap,Finance,Supply Chain Management,New Delhi,Sequoia India,Series A,5000000.0,2019-08-01,2000_2023,2019.0,False
Mypetrolpump,Retail,Fuel Delivery,Bengaluru,,Seed Funding Round,1600000.0,2019-08-01,2000_2023,2019.0,False
Alteria Capital,Finance,VC Funds,Mumbai,"Azim Premji, Binny Bansal",Single Venture,140000000.0,2019-08-01,2000_2023,2019.0,False
Pine Labs,Information Technology,Last-mile retail transaction technology,Noida,Pine Labs Pte Ltd,Corporate Round,38080000.0,2019-08-01,2000_2023,2019.0,False
Meesho,E-Commerce,Social Commerce,Bengaluru,Naspers,Series D,125000000.0,2019-08-12,2000_2023,2019.0,False
Cars24,E-Commerce,Car Retail,Gurugram,MS Dhoni,Series D,11000000.0,2019-08-13,2000_2023,2019.0,False
Uniphore,Customer Service Platform,Conversational AI,Palo Alto,March Capital Partners,Series C,51000000.0,2019-08-13,2000_2023,2019.0,False
Zendrive,Automotive,Road Safety Analytics,San Francisco,XL Innovate,Series B,37000000.0,2019-08-23,2000_2023,2019.0,False
Lo! Foods,Consumer Goods,Low carb food for Diabetics,Bengaluru,"Rashmi Daga (founder, FreshMenu), Raveen Sastry (co-founder, Myntra) and Mitesh Shah (finance chief, BookMyShow)",Seed Round,500000.0,2019-08-23,2000_2023,2019.0,False
Tala,FinTech,Digital Lending Platform,Santa Monica,RPS Ventures,Series D,110000000.0,2019-08-23,2000_2023,2019.0,False
Indwealth,FinTech,Wealth Management,Gurgaon,Tiger Global Management,Venture Round,15000000.0,2019-08-22,2000_2023,2019.0,False
Hungerbox,Food and Beverage,B2B Foodtech,Bengaluru,One97 Communications Ltd.,Series C,6590000.0,2019-08-21,2000_2023,2019.0,False
Admitkard,EdTech,University Admissions,Noida,Growth DNA,Seed Round,1000000.0,2019-08-23,2000_2023,2019.0,False
Mishry Reviews,Services,Product Review,Gurgaon,Vir Sanghvi,Series A,,2019-08-19,2000_2023,2019.0,False
Grofers,E-Commerce,Grocery Delivery,Gurgaon,Softbank Vision Fund,Series F,70000000.0,2019-08-19,2000_2023,2019.0,False
Rapido Bike Taxi,Transportation,Bike Taxi,Bengaluru,Westbridge Capital,Series B,3900000000.0,2019-08-27,2000_2023,2019.0,False
Renewbuy,Finance,Auto Insurance,Gurgaon,"Lok Capital, IIFL Wealth",Series B,19000000.0,2019-07-02,2000_2023,2019.0,False
Atlan,Information Technology,Big Data,Singapore,WaterBridge Ventures,Pre-Series A,2500000.0,2019-07-02,2000_2023,2019.0,False
Wizcounsel,Compliance,Consulting,New Delhi,Kapil Dev,Angel,145000.0,2019-07-01,2000_2023,2019.0,False
Ola Cabs,Transport,Cabs,Kormangala,"DIG Investment Ab, Deshe Holdings, Samih Toukan and Hussam Khoury",Series J,1000000.0,2019-07-03,2000_2023,2019.0,False
Uniphore,Artificial Intelligence,Speech Recognition,Taramani,March Capital Partners,Series C,38080000.0,2019-07-01,2000_2023,2019.0,False
Daalchini Technologies,Food and Beverage,Digital Vending Machine,New Delhi,Artha Venture,Seed Round,500000.0,2019-07-04,2000_2023,2019.0,False
"""Byju\\'S""",EdTech,Education,Bengaluru,Qatar Investment Authority,Private Equity Round,150000000.0,2019-07-10,2000_2023,2019.0,False
Moglix,E-Commerce,Industrial Tools and Equipments,Singapore,"Composite Capital Management, Sequoia Capital India, Tiger Global Management",Series D,60000000.0,2019-07-11,2000_2023,2019.0,False
